price,year,mileage,brand,fuel,transmission,engine_size,owners
100000,2001,42076,Ford,Petrol,Automatic,2.5,2
333084,2014,34511,Audi,Petrol,Automatic,2.0,3
1155380,2023,106911,Audi,Petrol,Manual,1.8,2
111779,2009,52036,Audi,Petrol,Manual,2.2,1
100000,2005,47345,Nissan,Petrol,Automatic,2.0,4
100000,2002,74696,Honda,Diesel,Manual,2.5,2
947179,2023,115683,Kia,Diesel,Automatic,3.0,1
393362,2015,9198,Hyundai,Diesel,Automatic,1.8,1
100000,2001,147287,Volkswagen,Petrol,Manual,1.4,1
373824,2020,181248,Kia,Hybrid,Automatic,2.5,1
138605,2013,85853,BMW,Petrol,Automatic,2.5,4
368046,2017,100749,Honda,Petrol,Automatic,3.0,1
100000,2005,147033,BMW,Hybrid,Manual,1.6,3
100000,2005,164997,Nissan,Petrol,Automatic,1.4,2
333523,2018,163142,Ford,Electric,Automatic,2.5,3
313299,2015,22673,Honda,Petrol,Automatic,1.4,2
100000,1998,62980,Honda,Petrol,Automatic,1.8,3
100000,2002,187307,Hyundai,Diesel,Manual,2.0,2
493212,2018,124599,Mercedes,Petrol,Manual,2.2,1
100000,1997,62203,Audi,Petrol,Manual,2.0,4
252999,2016,128627,Hyundai,Petrol,Manual,1.8,2
216032,2015,116867,Volkswagen,Diesel,Automatic,1.8,2
100000,1996,69600,Volkswagen,Petrol,Manual,2.2,2
394132,2018,101982,Volkswagen,Diesel,Automatic,1.4,3
100000,2006,92336,Volkswagen,Diesel,Manual,1.4,2
100000,2000,119765,Hyundai,Petrol,Manual,3.0,2
100000,1996,103311,Toyota,Diesel,Automatic,2.0,1
986078,2022,71838,Ford,Hybrid,Automatic,1.6,4
309260,2015,21926,Toyota,Hybrid,Automatic,1.8,4
100000,1995,131826,Hyundai,Petrol,Automatic,2.2,2
100000,2006,111268,Honda,Diesel,Automatic,2.0,2
693714,2020,57870,Volkswagen,Diesel,Automatic,3.0,2
378073,2016,64473,Audi,Diesel,Manual,2.2,1
752215,2023,78638,Toyota,Petrol,Automatic,1.4,1
100000,2006,137289,Audi,Petrol,Automatic,2.5,4
390688,2019,129490,Kia,Petrol,Automatic,3.0,3
137554,2011,114817,Ford,Petrol,Automatic,1.4,1
913080,2021,31331,Volkswagen,Petrol,Automatic,2.0,1
768371,2021,133873,BMW,Diesel,Automatic,3.0,4
100000,2004,170229,Toyota,Petrol,Manual,1.6,4
839870,2022,92413,Volkswagen,Diesel,Automatic,1.4,1
700893,2022,95361,Toyota,Petrol,Automatic,2.2,1
117287,2010,45430,BMW,Petrol,Automatic,1.8,1
100000,2009,76639,Kia,Petrol,Manual,3.0,1
100000,2009,85134,Mercedes,Diesel,Automatic,1.8,3
142106,2013,88508,Volkswagen,Petrol,Automatic,1.6,1
100000,2006,97577,Volkswagen,Petrol,Automatic,2.0,3
385989,2017,97229,Ford,Petrol,Automatic,1.6,4
184390,2014,84227,Hyundai,Petrol,Automatic,2.2,4
255549,2019,231974,Toyota,Petrol,Automatic,3.0,3
100000,1997,145537,BMW,Petrol,Automatic,1.6,3
100000,1999,139657,Nissan,Petrol,Manual,3.0,2
157504,2013,107993,BMW,Petrol,Manual,1.8,1
100000,2001,56922,Honda,Diesel,Automatic,2.5,1
278207,2015,147835,Audi,Petrol,Automatic,3.0,2
100000,2003,72957,Toyota,Petrol,Automatic,1.4,1
100000,2001,112636,Ford,Petrol,Automatic,1.4,3
215343,2012,53199,Kia,Petrol,Manual,3.0,2
100000,1998,300000,Nissan,Petrol,Automatic,2.5,1
472045,2019,47728,Audi,Diesel,Automatic,2.0,2
820085,2022,92161,Honda,Hybrid,Automatic,3.0,3
100000,2008,213460,Kia,Petrol,Automatic,2.2,4
200300,2012,18051,Honda,Diesel,Manual,2.0,1
394451,2020,153430,Volkswagen,Diesel,Automatic,3.0,1
100000,2003,110709,Toyota,Petrol,Automatic,2.5,1
445766,2020,151624,Mercedes,Petrol,Automatic,1.6,1
185297,2015,262697,Volkswagen,Petrol,Automatic,1.6,3
100000,1996,231362,Ford,Petrol,Manual,1.6,2
209667,2014,81951,BMW,Petrol,Automatic,2.2,1
949832,2022,106730,Mercedes,Petrol,Automatic,3.0,1
119969,2009,69093,Ford,Diesel,Manual,1.4,4
885252,2022,139830,Audi,Diesel,Automatic,2.5,1
100000,2001,33917,Ford,Petrol,Automatic,1.8,1
100000,2006,143580,Hyundai,Petrol,Automatic,1.8,1
493435,2023,215700,Volkswagen,Diesel,Manual,1.6,1
100000,2002,204662,Toyota,Hybrid,Manual,3.0,2
100000,2009,91749,Honda,Diesel,Manual,1.6,1
100000,1997,45502,BMW,Petrol,Automatic,3.0,2
100000,2008,37207,Mercedes,Petrol,Manual,1.6,4
108161,2011,149425,Nissan,Hybrid,Manual,2.2,3
100000,1998,95657,BMW,Diesel,Automatic,1.8,1
121332,2012,129229,BMW,Petrol,Manual,2.0,1
100000,2002,90937,Kia,Diesel,Automatic,1.4,2
100000,1998,103517,BMW,Petrol,Manual,2.0,1
100000,1996,114455,BMW,Petrol,Automatic,1.4,3
100000,2000,174455,BMW,Petrol,Automatic,2.2,2
319030,2016,149221,Honda,Diesel,Manual,1.4,1
100000,2004,24809,Hyundai,Petrol,Automatic,2.2,5
100000,1998,136370,BMW,Petrol,Manual,1.8,1
371172,2016,35932,Mercedes,Diesel,Manual,3.0,1
681016,2023,257784,Hyundai,Diesel,Automatic,3.0,3
120536,2012,87197,BMW,Petrol,Manual,1.4,2
589825,2020,78590,Mercedes,Petrol,Manual,1.6,4
100000,2006,113007,Mercedes,Petrol,Manual,1.6,1
100000,1996,71553,Audi,Petrol,Automatic,3.0,1
100000,2004,106457,Volkswagen,Petrol,Automatic,2.2,1
100000,1998,69379,Ford,Petrol,Manual,1.8,1
100000,2008,53005,Nissan,Petrol,Manual,2.2,2
134480,2010,97158,Ford,Hybrid,Manual,2.0,3
102066,2009,45772,Kia,Hybrid,Manual,2.0,2
100000,2002,138660,Toyota,Petrol,Automatic,2.0,1
100000,2008,44460,Nissan,Petrol,Automatic,1.6,3
451345,2017,97047,Hyundai,Petrol,Manual,2.5,1
516168,2022,143291,Nissan,Petrol,Automatic,2.0,3
309225,2019,188603,Ford,Diesel,Automatic,1.4,3
100000,2002,56051,Mercedes,Diesel,Manual,2.0,2
257631,2015,114838,Ford,Diesel,Manual,1.6,1
121714,2010,24947,Nissan,Hybrid,Manual,1.4,2
100000,2007,96009,Toyota,Hybrid,Automatic,1.8,4
133326,2012,129076,Nissan,Petrol,Automatic,2.2,2
106331,2009,59543,Mercedes,Hybrid,Manual,2.2,2
298097,2015,109256,Hyundai,Petrol,Automatic,2.5,5
259627,2018,144652,Mercedes,Diesel,Automatic,1.4,2
679884,2020,118458,BMW,Petrol,Manual,2.5,1
493347,2019,81939,Kia,Petrol,Automatic,1.4,2
740979,2022,67943,Toyota,Petrol,Manual,2.5,2
912370,2022,59057,Mercedes,Petrol,Manual,2.2,1
1062252,2022,37174,Toyota,Diesel,Automatic,2.2,1
100000,2007,192431,Audi,Hybrid,Automatic,1.4,4
100000,2003,179964,Nissan,Petrol,Manual,2.2,1
1042055,2023,115704,Kia,Petrol,Manual,3.0,3
100000,2009,17190,Honda,Petrol,Automatic,3.0,4
100000,2007,98561,BMW,Petrol,Automatic,2.5,1
100000,1995,31649,Hyundai,Petrol,Manual,1.8,1
715240,2019,30602,Ford,Petrol,Manual,2.0,1
100000,2001,136512,Volkswagen,Petrol,Automatic,3.0,2
100000,2003,45813,Volkswagen,Hybrid,Automatic,2.5,5
366995,2018,152260,Honda,Diesel,Manual,2.0,2
100000,1995,54300,Nissan,Petrol,Manual,1.8,1
100000,2006,31390,BMW,Electric,Automatic,2.0,1
100000,2002,21367,Toyota,Petrol,Manual,2.0,1
613595,2018,46351,Hyundai,Diesel,Manual,2.0,1
100000,2005,82581,Nissan,Diesel,Automatic,1.6,1
189495,2013,90512,Nissan,Petrol,Manual,3.0,1
125525,2011,149066,Kia,Petrol,Automatic,2.5,1
100000,2002,53040,Toyota,Hybrid,Automatic,2.5,1
100000,1997,33251,Volkswagen,Petrol,Manual,1.8,5
100000,1997,61314,Toyota,Petrol,Manual,2.5,2
100000,1995,170282,Toyota,Hybrid,Manual,2.2,2
1016815,2021,54458,Kia,Petrol,Automatic,3.0,1
100000,1999,88805,Nissan,Petrol,Automatic,1.4,3
100000,2004,69381,Nissan,Hybrid,Automatic,1.8,1
100000,2001,88172,Audi,Hybrid,Automatic,1.8,5
522990,2020,29613,Toyota,Hybrid,Manual,2.5,3
100000,2003,67974,Volkswagen,Petrol,Automatic,1.6,5
876717,2022,59679,Ford,Petrol,Automatic,1.6,2
100000,2001,72859,Nissan,Diesel,Automatic,3.0,2
100000,2003,111665,BMW,Diesel,Manual,2.0,3
100000,2002,106216,BMW,Petrol,Manual,1.6,3
100000,2006,80622,Hyundai,Diesel,Automatic,2.2,2
100000,1996,106827,Toyota,Hybrid,Automatic,2.2,1
100000,1995,78379,Hyundai,Diesel,Automatic,3.0,1
117989,2010,32044,Kia,Petrol,Manual,2.0,3
362539,2017,140837,Volkswagen,Petrol,Manual,3.0,1
435081,2017,101589,Toyota,Petrol,Automatic,1.6,1
358777,2018,182811,Volkswagen,Petrol,Automatic,2.0,2
100000,1999,55746,Audi,Petrol,Automatic,1.4,2
